P:6b9890af:0.667	A0[A7[]]
P:6c434453:0.020	A0[A1[C2]]
P:6d0160f0:0.039	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:6e02f1e3:0.133	A0[A21[C3]]
P:6ecd11f4:0.206	A0[A21[C4]]
P:72ca375d:0.400	A0[A7[]]
P:73251a56:0.051	A0[A18[]]
P:746b3537:0.353	A0[A6[],A6[],A12[C1,C3,C0]]
P:75b8110e:0.250	A0[A7[]]
P:77fdfe62:0.389	A0[A21[C8]]
P:780d0b14:0.062	A0[A6[],A6[],A12[C2,C3,C0]]
P:7837ac64:0.250	A0[A6[],A6[],A12[C3,C3,C0]]
P:794b24be:0.067	A0[A33[C0,C0,C2,C0,C2,C2,C2,C0,C0,C0,C0]]
P:7b7f7511:0.516	A0[A12[C4,C4,C2]]
P:7c008303:0.315	A0[A21[C3]]
P:7fe24cdd:0.778	A0[A6[],A6[],A12[C6,C6,C0]]
P:80af3007:0.597	A0[A9[],A44[]]
P:83302e8f:0.037	A0[A1[C4]]
P:834ec97d:0.026	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:846bdb03:0.563	A0[A21[C4]]
P:85c4e7cd:0.047	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:868de0fa:0.101	A0[A1[C2]]
P:8731374e:0.089	A0[A6[],A6[],A12[C8,C6,C2]]
P:88a62173:0.917	A0[A7[]]
P:8a004b2b:0.655	A0[A21[C4]]
P:8d5021e8:0.630	A0[A27[C0]]
P:8e1813be:0.164	A0[A21[C5]]
P:8e5a5113:0.212	A0[A22[C0]]
P:8efcae92:0.413	A0[A7[]]
P:90c28cc7:0.211	A0[A12[C2,C2,C2]]
P:91413438:0.283	A0[A4[C6]]
P:941d9a10:0.027	A0[A1[C2]]
P:94f9d214:0.422	A0[A12[C4,C4,C2]]
P:952a094c:0.007	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:97a05b5b:0.758	A0[A7[]]
P:9aec4887:0.536	A0[A6[],A6[],A12[C6,C6,C0]]
P:9af7a82c:0.078	A0[A6[],A6[],A12[C3,C6,C4]]
P:9d9215db:0.036	A0[A21[C0]]
P:9edfc990:0.197	A0[A35[C1]]
P:a3325580:0.054	A0[A6[],A6[],A12[C1,C3,C0]]
P:a61ba2ce:0.344	A0[A12[C4,C4,C2]]
P:a68b268e:0.240	A0[A21[C6]]
P:a85d4709:0.111	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:a8c38be5:0.210	A0[A12[C9,C9,C2]]
P:ac0a08a4:0.237	A0[A4[C3]]
P:ae3edfdc:0.015	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:ae4f1146:0.528	A0[A6[],A6[],A12[C3,C3,C0]]
P:b0c4d837:0.389	A0[A6[],A6[],A12[C3,C3,C2]]
P:b548a754:0.101	A0[A18[]]
P:b91ae062:0.429	A0[A4[C3]]
P:b94a9452:0.080	A0[A12[C4,C4,C2]]
P:bbc9ae5d:0.331	A0[A6[],A6[],A12[C6,C3,C2]]
P:bc1d5164:0.622	A0[A6[],A6[],A12[C3,C3,C2]]
P:bd4472b8:0.118	A0[A22[C0]]
P:bda2d7a6:0.235	A0[A22[C0]]
P:beb8660c:0.028	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:c3e719e8:0.481	A0[A9[],A27[C0]]
P:c8cbb738:0.458	A0[A21[C1]]
P:c9f8e694:0.035	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:caa06a1f:0.335	A0[A9[],A44[]]
P:cce03e0d:0.802	A0[A9[],A27[C0]]
P:cdecee7f:0.222	A0[A6[],A6[],A12[C3,C3,C2]]
P:ce602527:0.200	A0[A21[C3]]
P:cf98881b:0.325	A0[A21[C1]]
P:d0f5fe59:0.310	A0[A12[C4,C4,C2]]
P:d13f3404:0.500	A0[A6[],A6[],A12[C6,C6,C0]]
P:d23f8c26:0.085	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:d2abd087:0.143	A0[A14[C0,C5,C6,C4,C3,C1,C2,C7,C9,C8]]
P:d4469b4b:0.254	A0[A6[],A6[],A12[C3,C3,C2]]
P:d631b094:0.100	A0[A7[]]
P:d89b689b:0.007	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:ddf7fa4f:0.077	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:e179c5f4:0.300	A0[A22[C0]]
P:e26a3af2:0.024	A0[A33[C0,C0,C1,C0,C8,C8,C8,C0,C0,C0,C0]]
P:e48d4e1a:0.092	A0[A41[]]
P:e509e548:0.030	A0[A33[C0,C0,C3,C0,C1,C1,C1,C0,C0,C0,C0]]
P:e50d258f:0.453	A0[A6[],A6[],A12[C4,C6,C0]]
P:e6721834:0.470	A0[A21[C8]]
P:e73095fd:0.006	A0[A1[C4]]
P:e98196ab:0.212	A0[A21[C7]]
P:eb5a1d5d:0.157	A0[A12[C5,C5,C2]]
P:f5b8619d:0.500	A0[A45[],A6[],A12[C0,C6,C0]]
P:f76d97a5:0.254	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:f8b3ba0a:0.167	A0[A6[],A6[],A12[C1,C3,C0]]
P:f8c80d96:0.287	A0[A22[C0]]
P:f8ff0b80:0.333	A0[A6[],A6[],A12[C1,C3,C0]]
P:fcb5c309:0.500	A0[A7[]]
P:ff28f65a:0.306	A0[A6[],A6[],A12[C3,C3,C2]]
P:017c7c7b:0.444	A0[A6[],A6[],A12[C3,C9,C2]]
P:06df4c85:0.032	A0[A16[]]
P:09629e4f:0.033	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:0b148d64:0.461	A0[A7[]]
P:10fcaaa3:0.549	A0[A45[],A6[],A12[C0,C6,C0]]
P:137eaa0f:0.222	A0[A6[],A6[],A12[C3,C3,C0]]
P:1e0a9b12:0.026	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:2204b7a8:0.010	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:228f6490:0.030	A0[A1[C8]]
P:234bbc79:0.273	A0[A6[],A6[],A12[C9,C3,C2]]
P:239be575:0.500	A0[A6[],A6[],A12[C1,C1,C0]]
P:23b5c85d:0.054	A0[A6[],A6[],A12[C4,C3,C0]]
P:25d8a9c8:0.417	A0[A33[C0,C0,C3,C0,C5,C5,C5,C0,C0,C0,C0]]
P:272f95fa:0.071	A0[A1[C6]]
P:2bee17df:0.088	A0[A1[C3]]
P:2dc579da:0.658	A0[A6[],A6[],A12[C5,C5,C0]]
P:2dee498d:0.552	A0[A6[],A6[],A12[C4,C4,C0]]
P:31aa019c:0.017	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:321b1fc6:0.060	A0[A33[C0,C0,C3,C0,C6,C6,C6,C0,C0,C0,C0]]
P:39a8645d:0.704	A0[A6[],A6[],A12[C3,C3,C0]]
P:3befdf3e:0.053	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:3de23699:0.153	A0[A21[C2]]
P:3f7978a0:0.333	A0[A6[],A6[],A12[C5,C6,C0]]
P:4093f84a:0.009	A0[A33[C0,C0,C5,C0,C8,C8,C8,C0,C0,C0,C0]]
P:4290ef0e:0.137	A0[A6[],A6[],A12[C7,C7,C2]]
P:444801d8:0.017	A0[A1[C2]]
P:445eab21:0.083	A0[A12[C2,C2,C2]]
P:447fd412:0.008	A0[A35[C1]]
P:4522001f:0.630	A0[A27[C0]]
P:46442a0e:0.909	A0[A6[]]
P:469497ad:0.530	A0[A4[C4]]
P:46f33fce:0.830	A0[A4[C2]]
P:47c1f68c:0.305	A0[A6[],A6[],A12[C10,C10,C2]]
P:48d8fb45:0.778	A0[A6[],A6[],A12[C3,C3,C0]]
P:49d1d64f:0.197	A0[A9[],A4[C2]]
P:4be741c5:0.100	A0[A6[],A6[],A12[C1,C3,C0]]
P:5117e062:0.444	A0[A6[],A6[],A12[C3,C3,C4]]
P:5168d44c:0.013	A0[A3[]]
P:539a4f51:0.373	A0[A6[],A6[],A12[C10,C10,C0]]
P:53b68214:0.950	A0[A6[],A6[],A12[C10,C10,C2]]
P:5521c0d9:0.015	A0[A43[]]
P:5ad4f10b:0.593	A0[A6[],A6[],A12[C3,C3,C6]]
P:5bd6f4ac:0.472	A0[A6[],A6[],A12[C3,C3,C1]]
P:5daaa586:0.181	A0[A6[],A6[],A12[C8,C8,C2]]
P:662c240a:0.250	A0[A6[],A6[],A12[C3,C3,C0]]
P:673ef223:0.011	A0[A33[C0,C0,C4,C0,C2,C2,C2,C0,C0,C0,C0]]
P:6773b310:0.694	A0[A6[],A6[],A12[C3,C3,C1]]
P:681b3aeb:0.593	A0[A6[],A6[],A12[C3,C3,C0]]
P:6b9890af:0.667	A0[A7[]]
P:6c434453:0.020	A0[A1[C2]]
P:6d0160f0:0.045	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:6e02f1e3:0.156	A0[A33[C0,C0,C3,C0,C5,C5,C5,C0,C0,C0,C0]]
P:6ecd11f4:0.206	A0[A6[],A6[],A12[C3,C3,C1]]
P:72ca375d:0.800	A0[A6[],A6[],A12[C4,C2,C0]]
P:73251a56:0.051	A0[A18[]]
P:746b3537:0.353	A0[A6[],A6[],A12[C1,C3,C0]]
P:75b8110e:0.250	A0[A45[],A6[],A12[C4,C4,C0]]
P:77fdfe62:0.389	A0[A21[C8]]
P:780d0b14:0.125	A0[A6[],A6[],A12[C2,C2,C0]]
P:7837ac64:0.500	A0[A6[],A6[],A12[C3,C3,C1]]
P:794b24be:0.133	A0[A6[],A6[],A12[C3,C3,C1]]
P:7b7f7511:0.516	A0[A6[],A6[],A12[C4,C4,C0]]
P:7c008303:0.315	A0[A21[C3]]
P:7fe24cdd:0.778	A0[A6[],A6[],A12[C6,C6,C0]]
P:80af3007:0.778	A0[A6[],A6[],A12[C9,C9,C0]]
P:83302e8f:0.037	A0[A1[C4]]
P:834ec97d:0.026	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:846bdb03:0.563	A0[A21[C4]]
P:85c4e7cd:0.116	A0[A14[C0,C1,C2,C3,C4,C5,C2,C3,C8,C9]]
P:868de0fa:0.101	A0[A1[C2]]
P:8731374e:0.106	A0[A6[],A6[],A12[C8,C6,C0]]
P:88a62173:0.917	A0[A7[]]
P:8a004b2b:0.655	A0[A21[C4]]
P:8d5021e8:0.630	A0[A27[C0]]
P:8e1813be:0.164	A0[A21[C5]]
P:8e5a5113:0.212	A0[A22[C0]]
P:8efcae92:0.413	A0[A7[]]
P:90c28cc7:0.211	A0[A12[C2,C2,C2]]
P:91413438:0.283	A0[A4[C6]]
P:941d9a10:0.027	A0[A1[C2]]
P:94f9d214:0.422	A0[A12[C4,C4,C2]]
P:952a094c:0.007	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:97a05b5b:0.758	A0[A7[]]
P:9aec4887:0.536	A0[A6[],A6[],A12[C6,C6,C0]]
P:9af7a82c:0.091	A0[A6[],A6[],A12[C4,C5,C0]]
P:9d9215db:0.036	A0[A21[C5]]
P:9edfc990:0.197	A0[A35[C1]]
P:a3325580:0.054	A0[A6[],A6[],A12[C1,C3,C0]]
P:a61ba2ce:0.344	A0[A12[C4,C4,C2]]
P:a68b268e:0.271	A0[A6[],A6[],A12[C4,C4,C0]]
P:a85d4709:0.194	A0[A33[C0,C0,C4,C0,C3,C3,C3,C0,C0,C0,C0]]
P:a8c38be5:0.228	A0[A6[],A6[],A12[C9,C9,C0]]
P:ac0a08a4:0.237	A0[A4[C3]]
P:ae3edfdc:0.015	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:ae4f1146:0.528	A0[A6[],A6[],A12[C3,C3,C0]]
P:b0c4d837:0.704	A0[A6[],A6[],A12[C3,C3,C1]]
P:b190f7f5:0.167	A0[A6[],A6[],A12[C9,C9,C2]]
P:b548a754:0.101	A0[A18[]]
P:b91ae062:0.429	A0[A4[C3]]
P:b94a9452:0.080	A0[A12[C4,C4,C2]]
P:b9b7f026:0.333	A0[A6[],A6[],A12[C1,C1,C0]]
P:bbc9ae5d:0.331	A0[A6[],A6[],A12[C6,C3,C2]]
P:bc1d5164:0.622	A0[A6[],A6[],A12[C3,C3,C2]]
P:bd4472b8:0.118	A0[A22[C0]]
P:bda2d7a6:0.235	A0[A22[C0]]
P:beb8660c:0.028	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:c3e719e8:0.481	A0[A9[],A27[C0]]
P:c8cbb738:0.458	A0[A6[],A6[],A12[C5,C5,C0]]
P:c9f8e694:0.035	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:caa06a1f:0.335	A0[A9[],A44[]]
P:cce03e0d:0.802	A0[A9[],A27[C0]]
P:cdecee7f:0.222	A0[A6[],A6[],A12[C3,C3,C2]]
P:ce602527:0.200	A0[A21[C3]]
P:cf98881b:0.375	A0[A45[],A6[],A12[C4,C4,C0]]
P:d0f5fe59:0.345	A0[A45[],A6[],A12[C4,C4,C0]]
P:d13f3404:0.500	A0[A6[],A6[],A12[C6,C6,C0]]
P:d23f8c26:0.085	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:d2abd087:0.143	A0[A14[C0,C5,C6,C4,C3,C1,C2,C7,C9,C8]]
P:d4469b4b:0.365	A0[A6[],A6[],A12[C3,C3,C1]]
P:d631b094:0.400	A0[A6[],A6[],A12[C4,C1,C0]]
P:d89b689b:0.007	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:ddf7fa4f:0.077	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:e179c5f4:0.300	A0[A22[C0]]
P:e26a3af2:0.033	A0[A33[C0,C0,C1,C0,C7,C7,C7,C0,C0,C0,C0]]
P:e48d4e1a:0.092	A0[A41[]]
P:e509e548:0.030	A0[A33[C0,C0,C3,C0,C1,C1,C1,C0,C0,C0,C0]]
P:e50d258f:0.453	A0[A6[],A6[],A12[C4,C6,C0]]
P:e6721834:0.470	A0[A21[C8]]
P:e73095fd:0.006	A0[A1[C4]]
P:e98196ab:0.212	A0[A21[C7]]
P:eb5a1d5d:0.253	A0[A12[C7,C7,C2]]
P:f5b8619d:0.500	A0[A45[],A6[],A12[C0,C6,C0]]
P:f76d97a5:0.254	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:f8b3ba0a:0.167	A0[A6[],A6[],A12[C1,C3,C0]]
P:f8c80d96:0.287	A0[A22[C0]]
P:f8ff0b80:0.333	A0[A6[],A6[],A12[C1,C3,C0]]
P:fcb5c309:0.500	A0[A7[]]
P:ff28f65a:0.639	A0[A6[],A6[],A12[C3,C3,C1]]
P:017c7c7b:0.444	A0[A6[],A6[],A12[C3,C9,C2]]
P:06df4c85:0.032	A0[A16[]]
P:09629e4f:0.033	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:0b148d64:0.461	A0[A7[]]
P:10fcaaa3:0.549	A0[A45[],A6[],A12[C0,C6,C0]]
P:137eaa0f:0.222	A0[A6[],A6[],A12[C3,C3,C0]]
P:1e0a9b12:0.026	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:2204b7a8:0.010	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:228f6490:0.030	A0[A1[C8]]
P:234bbc79:0.273	A0[A6[],A6[],A12[C9,C3,C2]]
P:239be575:0.500	A0[A6[],A6[],A12[C1,C1,C0]]
P:23b5c85d:0.054	A0[A6[],A6[],A12[C4,C3,C0]]
P:25d8a9c8:0.417	A0[A33[C0,C0,C3,C0,C5,C5,C5,C0,C0,C0,C0]]
P:272f95fa:0.071	A0[A1[C6]]
P:2bee17df:0.088	A0[A1[C3]]
P:2dc579da:0.658	A0[A6[],A6[],A12[C5,C5,C0]]
P:2dee498d:0.552	A0[A6[],A6[],A12[C4,C4,C0]]
P:31aa019c:0.017	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:321b1fc6:0.060	A0[A33[C0,C0,C3,C0,C6,C6,C6,C0,C0,C0,C0]]
P:39a8645d:0.704	A0[A6[],A6[],A12[C3,C3,C0]]
P:3befdf3e:0.053	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:3de23699:0.153	A0[A21[C2]]
P:3f7978a0:0.333	A0[A6[],A6[],A12[C5,C6,C0]]
P:4093f84a:0.009	A0[A33[C0,C0,C5,C0,C8,C8,C8,C0,C0,C0,C0]]
P:4290ef0e:0.137	A0[A6[],A6[],A12[C7,C7,C2]]
P:444801d8:0.017	A0[A1[C2]]
P:445eab21:0.083	A0[A12[C2,C2,C2]]
P:447fd412:0.008	A0[A35[C1]]
P:4522001f:0.630	A0[A27[C0]]
P:46442a0e:0.909	A0[A6[]]
P:469497ad:0.530	A0[A4[C4]]
P:46f33fce:0.830	A0[A4[C2]]
P:47c1f68c:0.305	A0[A6[],A6[],A12[C10,C10,C2]]
P:48d8fb45:0.778	A0[A6[],A6[],A12[C3,C3,C0]]
P:49d1d64f:0.197	A0[A9[],A4[C2]]
P:4be741c5:0.100	A0[A6[],A6[],A12[C1,C3,C0]]
P:5117e062:0.444	A0[A6[],A6[],A12[C3,C3,C4]]
P:5168d44c:0.013	A0[A3[]]
P:539a4f51:0.373	A0[A6[],A6[],A12[C10,C10,C0]]
P:53b68214:0.950	A0[A6[],A6[],A12[C10,C10,C2]]
P:5521c0d9:0.015	A0[A43[]]
P:5ad4f10b:0.593	A0[A6[],A6[],A12[C3,C3,C6]]
P:5bd6f4ac:0.472	A0[A6[],A6[],A12[C3,C3,C1]]
P:5daaa586:0.181	A0[A6[],A6[],A12[C8,C8,C2]]
P:662c240a:0.250	A0[A6[],A6[],A12[C3,C3,C0]]
P:673ef223:0.011	A0[A33[C0,C0,C4,C0,C2,C2,C2,C0,C0,C0,C0]]
P:6773b310:0.694	A0[A6[],A6[],A12[C3,C3,C1]]
P:681b3aeb:0.593	A0[A6[],A6[],A12[C3,C3,C0]]
P:6b9890af:0.667	A0[A7[]]
P:6c434453:0.020	A0[A1[C2]]
P:6d0160f0:0.045	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:6e02f1e3:0.156	A0[A33[C0,C0,C3,C0,C5,C5,C5,C0,C0,C0,C0]]
P:6ecd11f4:0.206	A0[A6[],A6[],A12[C3,C3,C1]]
P:72ca375d:0.800	A0[A6[],A6[],A12[C4,C2,C0]]
P:73251a56:0.051	A0[A18[]]
P:746b3537:0.353	A0[A6[],A6[],A12[C1,C3,C0]]
P:75b8110e:0.250	A0[A45[],A6[],A12[C4,C4,C0]]
P:77fdfe62:0.389	A0[A21[C8]]
P:780d0b14:0.125	A0[A6[],A6[],A12[C2,C2,C0]]
P:7837ac64:0.500	A0[A6[],A6[],A12[C3,C3,C1]]
P:794b24be:0.133	A0[A6[],A6[],A12[C3,C3,C1]]
P:7b7f7511:0.516	A0[A6[],A6[],A12[C4,C4,C0]]
P:7c008303:0.315	A0[A21[C3]]
P:7fe24cdd:0.778	A0[A6[],A6[],A12[C6,C6,C0]]
P:80af3007:0.778	A0[A6[],A6[],A12[C9,C9,C0]]
P:83302e8f:0.037	A0[A1[C4]]
P:834ec97d:0.026	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:846bdb03:0.563	A0[A21[C4]]
P:85c4e7cd:0.116	A0[A14[C0,C1,C2,C3,C4,C5,C2,C3,C8,C9]]
P:868de0fa:0.101	A0[A1[C2]]
P:8731374e:0.106	A0[A6[],A6[],A12[C8,C6,C0]]
P:88a62173:0.917	A0[A7[]]
P:8a004b2b:0.655	A0[A21[C4]]
P:8d5021e8:0.630	A0[A27[C0]]
P:8e1813be:0.164	A0[A21[C5]]
P:8e5a5113:0.212	A0[A22[C0]]
P:8efcae92:0.413	A0[A7[]]
P:90c28cc7:0.211	A0[A12[C2,C2,C2]]
P:91413438:0.283	A0[A4[C6]]
P:941d9a10:0.027	A0[A1[C2]]
P:94f9d214:0.422	A0[A12[C4,C4,C2]]
P:952a094c:0.007	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:97a05b5b:0.758	A0[A7[]]
P:9aec4887:0.536	A0[A6[],A6[],A12[C6,C6,C0]]
P:9af7a82c:0.091	A0[A6[],A6[],A12[C4,C5,C0]]
P:9d9215db:0.036	A0[A21[C5]]
P:9edfc990:0.197	A0[A35[C1]]
P:a3325580:0.054	A0[A6[],A6[],A12[C1,C3,C0]]
P:a61ba2ce:0.344	A0[A12[C4,C4,C2]]
P:a68b268e:0.271	A0[A6[],A6[],A12[C4,C4,C0]]
P:a85d4709:0.194	A0[A33[C0,C0,C4,C0,C3,C3,C3,C0,C0,C0,C0]]
P:a8c38be5:0.228	A0[A6[],A6[],A12[C9,C9,C0]]
P:ac0a08a4:0.237	A0[A4[C3]]
P:ae3edfdc:0.015	A0[A14[C0,C1,C2,C3,C4,C5,C2,C0,C8,C9]]
P:ae4f1146:0.528	A0[A6[],A6[],A12[C3,C3,C0]]
P:b0c4d837:0.704	A0[A6[],A6[],A12[C3,C3,C1]]
P:b190f7f5:0.167	A0[A6[],A6[],A12[C9,C9,C2]]
P:b548a754:0.101	A0[A18[]]
P:b91ae062:0.429	A0[A4[C3]]
P:b94a9452:0.080	A0[A12[C4,C4,C2]]
P:b9b7f026:0.333	A0[A6[],A6[],A12[C1,C1,C0]]
P:bbc9ae5d:0.331	A0[A6[],A6[],A12[C6,C3,C2]]
P:bc1d5164:0.622	A0[A6[],A6[],A12[C3,C3,C2]]
P:bd4472b8:0.118	A0[A22[C0]]
P:bda2d7a6:0.235	A0[A22[C0]]
P:beb8660c:0.028	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:c3e719e8:0.481	A0[A9[],A27[C0]]
P:c8cbb738:0.458	A0[A6[],A6[],A12[C5,C5,C0]]
P:c9f8e694:0.035	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:caa06a1f:0.335	A0[A9[],A44[]]
P:cce03e0d:0.802	A0[A9[],A27[C0]]
P:cdecee7f:0.222	A0[A6[],A6[],A12[C3,C3,C2]]
P:ce602527:0.200	A0[A21[C3]]
P:cf98881b:0.375	A0[A45[],A6[],A12[C4,C4,C0]]
P:d0f5fe59:0.345	A0[A45[],A6[],A12[C4,C4,C0]]
P:d13f3404:0.500	A0[A6[],A6[],A12[C6,C6,C0]]
P:d23f8c26:0.085	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:d2abd087:0.143	A0[A14[C0,C5,C6,C4,C3,C1,C2,C7,C9,C8]]
P:d4469b4b:0.365	A0[A6[],A6[],A12[C3,C3,C1]]
P:d631b094:0.400	A0[A6[],A6[],A12[C4,C1,C0]]
P:d89b689b:0.007	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:ddf7fa4f:0.077	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:e179c5f4:0.300	A0[A22[C0]]
P:e26a3af2:0.033	A0[A33[C0,C0,C1,C0,C7,C7,C7,C0,C0,C0,C0]]
P:e48d4e1a:0.092	A0[A41[]]
P:e509e548:0.030	A0[A33[C0,C0,C3,C0,C1,C1,C1,C0,C0,C0,C0]]
P:e50d258f:0.453	A0[A6[],A6[],A12[C4,C6,C0]]
P:e6721834:0.470	A0[A21[C8]]
P:e73095fd:0.006	A0[A1[C4]]
P:e98196ab:0.212	A0[A21[C7]]
P:eb5a1d5d:0.253	A0[A12[C7,C7,C2]]
P:f5b8619d:0.500	A0[A45[],A6[],A12[C0,C6,C0]]
P:f76d97a5:0.254	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:f8b3ba0a:0.167	A0[A6[],A6[],A12[C1,C3,C0]]
P:f8c80d96:0.287	A0[A22[C0]]
P:f8ff0b80:0.333	A0[A6[],A6[],A12[C1,C3,C0]]
P:fcb5c309:0.500	A0[A7[]]
P:ff28f65a:0.639	A0[A6[],A6[],A12[C3,C3,C1]]
P:017c7c7b:d0.444:c36:x0:p1.00	A0[A6[],A6[],A12[C3,C9,C2]]
P:06df4c85:d0.032:c46:x0:p1.00	A0[A16[]]
